title,review_counts,address,search_keyword,LATITUDE,LONGITUDE,X,Y,score,keyword_len
Singapore Philatelic Museum,246,"23B Coleman Street Singapore Philatelic Museum, Singapore 179807 Singapore",179807,1.29285579754027,103.848710405744,29712.9770434201,30582.9496317338,0,6
SilverKris Lounge,243,"Changi Airport, Terminal 3, Unit 03-MS-06, Singapore 819663 Singapore",819663,1.35640628728788,103.986211815854,45015.2803212646,37610.5688502248,0,6
Tiger Brewery Tour,242,"459 Jalan Ahmad Ibrahim, Singapore 639934 Singapore",639934,1.33626583028152,103.647219828497,7289.14137784112,35383.7872488219,,6
Red Dot Design Museum,235,"11 Marina Boulevard Red Dot Design Museum Red Dot Design Museum, Singapore 018940 Singapore",018940,1.28071923547795,103.85600467736,30524.7782899905,29240.957250692,0,6
Robertson Quay,232,"Near Singapore River, Singapore Singapore",Robertson Quay,1.29100592388417,103.83595714844,28293.6501153214,30378.3951169532,1.0,14
Bukit Brown Cemetery,223,"Lorong Halwa, Singapore Singapore",Bukit Brown Cemetery,1.33676623230772,103.824874312568,27060.2426730031,35438.3362696134,,20
Funan,208,"107 North Bridge Road, Singapore 179105 Singapore",179105,1.29124400604241,103.849984790048,29854.8061561631,30404.7269309964,0,6
Labrador Nature Reserve,205,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187 Singapore",Labrador Nature Reserve,1.2666121904471,103.80253966305,24574.5381148206,27681.0824233331,,6
Suntec Singapore Convention & Exhibition Centre,203,"1 Raffles Boulevard Singapore Int'l Convention & Exhibition Ctr, Singapore 039593 Singapore",039593,1.29350132535556,103.857307495824,30669.7581182309,30654.3361870423,0,6
Alive Museum,195,"3 Temasek Boulevard Suntec City Mall 03-372 Suntec City Mall, Towers 3/4, Singapore 038983 Singapore",038983,1.2948790500243,103.857675494346,30710.7116990434,30806.678278571,0,6
Satay Street,194,"Boon Tat St Lau Pa Sat, Singapore Singapore",Lau Pa Sat,1.28059313261496,103.850360262069,29896.6008237079,29227.0085833445,,12
Kuan Yin Thong Hood Cho Temple,182,"178 Waterloo Street Kwan im Temple, Singapore 187964 Singapore",187964,1.30094934166519,103.852967460404,30186.743450149,31477.8953345679,,6
Tanah Merah Ferry Terminal,178,"50 Tanah Merah Ferry Road #01-21 Tanah Merah Ferry Terminal, Singapore 498833 Singapore",498833,1.31399782767643,103.988628617992,45284.5397642162,32921.2583712153,0,6
Surviving the Japanese Occupation: War and Its Legacies,176,"351 Upper Bukit Timah Road, Singapore 588192 Singapore",588192,1.35246141702638,103.768919150692,20833.0706961006,37173.9230381921,0,6
Ngee Ann City,171,"391 Orchard Road Ngee Ann City, Singapore 238872 Singapore",238872,1.30236932766648,103.834980235031,28184.9272151291,31634.9016315825,0,6
Malay Heritage Centre,171,"85 Sultan Gate, Singapore 198501 Singapore",198501,1.30282121190442,103.859894773198,30957.6888209572,31684.8841822054,0,6
Singapore Cricket Club,170,"A Connaught Drive Singapore Cricket Club, Singapore 179681 Singapore",179681,1.28889342793241,103.852131733037,30093.7444042824,30144.813787397,,6
Bollywood Veggies,170,"100 Neo Tiew Road, Singapore 719026 Singapore",719026,1.41837503235253,103.716677231536,15019.4874103479,44462.548135031,,6
Marina Bay Cruise Centre,169,"61 Marina Coastal Drive Marina Bay Cruise Centre Singapore, Singapore 018947 Singapore",018947,1.26602231000442,103.860527876808,31028.1907944428,27615.8520126957,0,6
National Stadium,168,"2 Stadium Walk, Singapore 397718 Singapore",National Stadium,1.30508019560987,103.873896103794,32515.9058405804,31934.6917843502,,6
Orchid Garden & Koi Pond,164,"Airport Boulevard Terminal 2, Singapore Singapore",Orchid Garden & Koi Pond,1.31287139014979,103.81384193554,25832.4352616929,32796.1740518902,,24
Parkview Square,163,"600 North Bridge Road Parkview Square, Singapore 188778 Singapore",188778,1.30019557614723,103.857615311375,30704.0082184216,31394.5523203295,0,6
G-MAX Reverse Bungy,158,"3E River Valley Road Clarke Quay, Singapore 179019 Singapore",G-MAX Reverse Bungy,1.29028139878755,103.846964686162,29518.6950888308,30298.2847839128,,6
Great World,155,"1 Kim Seng Promenade Great World City, Singapore 237994 Singapore",237994,1.2931549290701,103.831928020443,27845.2428609794,30616.0209150314,0,6
Changi Beach,154,"Near Changi Village, Singapore Singapore",Changi Beach,1.38272907017716,104.001981729276,46770.0926169362,40521.3374488857,0.9374820811434724,12
